tconst,averageRating,numVotes
tt0000001,5.7,2163
tt0000003,6.5,2213
tt0000005,6.2,2953
tt0000008,5.4,2306
tt0000010,6.8,7987
tt0000012,7.4,13520
tt0000013,5.7,2075
tt0000014,7.1,6187
tt0000015,6.1,1281
tt0000016,5.9,1667
tt0000022,5.1,1217
tt0000023,5.7,1595
tt0000026,5.6,1683
tt0000027,5.6,1278
tt0000028,5.1,1207
tt0000029,5.9,3685
tt0000031,5.5,1099
tt0000033,5.5,1138
tt0000041,6.7,2126
tt0000070,6.4,2901
tt0000075,6.3,2177
tt0000089,6.2,1106
tt0000091,6.7,4334
tt0000131,5.7,1659
tt0000132,5.1,1221
tt0000138,6.4,1322
tt0000172,6.0,1156
tt0000211,7.4,5099
tt0000230,6.5,1968
tt0000235,6.2,1106
tt0000242,6.4,1461
tt0000246,6.4,1154
tt0000248,6.1,1798
tt0000300,6.8,1531
tt0000304,6.0,1523
tt0000309,6.1,1040
tt0000359,7.1,3412
tt0000410,6.7,1154
tt0000417,8.1,58660
tt0000420,6.2,3056
tt0000439,7.2,22020
tt0000447,6.4,2865
tt0000451,6.5,1132
tt0000455,6.7,2023
tt0000465,7.3,2005
tt0000469,5.8,1226
tt0000498,6.6,1405
tt0000499,7.5,4267
tt0000516,6.5,1216
tt0000534,6.6,1383
tt0000546,6.7,2099
tt0000554,6.2,1594
tt0000567,6.8,1510
tt0000614,6.5,1313
tt0000682,6.9,3079
tt0000832,6.6,2886
tt0000942,6.2,1191
tt0001009,6.5,1084
tt0001032,5.9,1020
tt0001062,6.2,1346
tt0001105,6.4,1095
tt0001223,6.4,5000
tt0001463,5.7,1751
tt0001527,7.7,3405
tt0001737,7.1,1935
tt0001740,6.5,1411
tt0002113,6.8,1303
tt0002130,7.0,3828
tt0002208,6.7,1355
tt0002260,6.3,1427
tt0002381,6.6,2611
tt0002423,6.6,1077
tt0002553,6.4,1026
tt0002844,6.9,2637
tt0003014,7.0,1535
tt0003037,6.9,1790
tt0003165,6.9,1425
tt0003419,6.4,2564
tt0003424,7.4,2457
tt0003643,6.4,1531
tt0003679,5.4,1842
tt0003733,4.7,1335
tt0003740,7.1,4170
tt0003758,5.7,1578
tt0003760,5.6,1196
tt0003772,6.0,1116
tt0003805,5.3,1513
tt0003863,5.9,1218
tt0003923,5.2,1243
tt0003930,6.8,1509
tt0003934,5.4,1147
tt0003952,6.7,1276
tt0003961,5.6,1800
tt0004008,7.1,3846
tt0004011,5.5,1055
tt0004026,6.7,1291
tt0004091,4.9,1283
tt0004100,5.9,1210
tt0004101,5.9,1456
tt0004102,5.3,1122
tt0004108,6.2,1039
tt0004181,6.2,1501
tt0004189,5.7,3485
tt0004194,5.7,1560
tt0004210,5.6,1711
tt0004277,5.6,1082
tt0004280,5.4,1110
tt0004282,5.6,1462
tt0004284,5.6,2103
tt0004288,5.5,2421
tt0004311,5.9,1601
tt0004395,6.1,1257
tt0004465,6.3,1107
tt0004499,5.6,1003
tt0004518,5.0,1307
tt0004546,6.2,1860
tt0004635,5.6,1111
tt0004637,5.2,1083
tt0004670,5.1,1463
tt0004693,5.4,1218
tt0004707,6.2,3828
tt0004736,5.6,1516
tt0004936,6.6,2335
tt0004972,6.1,27512
tt0005044,5.8,1965
tt0005060,6.3,1145
tt0005074,6.7,2914
tt0005077,6.0,1994
tt0005078,6.5,2950
tt0005339,5.7,1113
tt0005489,6.0,2124
tt0005542,5.6,1830
tt0005571,5.9,1504
tt0005810,5.9,1962
tt0005812,6.4,2548
tt0005910,5.6,1279
tt0005916,6.7,1091
tt0005960,6.8,1502
tt0006032,6.2,1781
tt0006177,6.9,3909
tt0006206,7.3,5701
tt0006309,6.4,2042
tt0006313,6.2,1888
tt0006333,6.1,2134
tt0006414,6.9,3164
tt0006548,6.6,2582
tt0006684,6.5,3013
tt0006689,6.6,2820
tt0006780,6.7,1140
tt0006864,7.7,17441
tt0006886,7.2,1194
tt0007108,6.7,1056
tt0007145,7.0,3751
tt0007162,7.0,3876
tt0007194,6.4,2095
tt0007264,7.0,4493
tt0007476,5.1,1263
tt0007507,6.8,3347
tt0007613,7.3,4745
tt0007761,6.3,1987
tt0007819,6.3,1969
tt0007832,7.1,4033
tt0007880,7.4,6052
tt0008112,5.9,1343
tt0008133,7.5,9638
tt0008377,5.8,1210
tt0008443,6.7,1611
tt0008523,5.6,1674
tt0008663,7.3,2479
tt0008874,6.6,1577
tt0008879,7.2,2227
tt0008891,6.9,1079
tt0008907,5.4,1244
tt0008975,6.6,2032
tt0009018,7.6,10219
tt0009123,6.0,1386
tt0009150,6.5,1148
tt0009369,6.1,1205
tt0009389,5.9,1001
tt0009466,6.4,1320
tt0009611,7.3,7767
tt0009620,6.8,1340
tt0009652,6.8,1645
tt0009878,7.0,1619
tt0009887,6.9,1276
tt0009892,5.5,1274
tt0009893,7.1,2317
tt0009899,6.5,1488
tt0009937,6.9,1757
tt0009968,7.2,11486
tt0009973,6.9,1462
tt0010040,6.6,1498
tt0010057,6.6,3822
tt0010071,6.5,1305
tt0010146,6.9,1227
tt0010155,6.6,1616
tt0010221,6.0,1023
tt0010247,7.1,1641
tt0010267,6.6,1067
tt0010281,6.8,1750
tt0010307,7.7,2255
tt0010323,8.0,73627
tt0010418,7.0,2032
tt0010598,6.6,1123
tt0010600,7.4,2550
tt0010726,6.5,1549
tt0010747,6.6,3493
tt0010806,6.9,2087
tt0010879,6.9,1027
tt0011000,6.6,1418
tt0011071,7.1,3766
tt0011130,6.9,6399
tt0011144,6.8,1756
