tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0035423,movie,Kate & Leopold,Kate & Leopold,0.0,2001.0,,118.0,"Comedy,Fantasy,Romance",6.4,91923
tt0038687,movie,Let There Be Light,Let There Be Light,0.0,1980.0,,58.0,"Documentary,War",7.4,2099
tt0040559,movie,The Machine to Kill Bad People,La macchina ammazzacattivi,0.0,1952.0,,83.0,"Comedy,Fantasy",6.7,1022
tt0042210,movie,Utopia,Atoll K,0.0,1951.0,,82.0,Comedy,5.5,2328
tt0042539,movie,Halls of Montezuma,Halls of Montezuma,0.0,1951.0,,113.0,"Action,Adventure,Drama",6.6,3073
tt0042619,movie,Diary of a Country Priest,Journal d'un curé de campagne,0.0,1951.0,,95.0,Drama,7.7,13222
tt0042851,movie,Pool of London,Pool of London,0.0,1951.0,,85.0,"Crime,Drama",7.1,1348
tt0043018,movie,Susana,Susana,0.0,1951.0,,86.0,Drama,7.2,2381
tt0043255,movie,Bud Abbott and Lou Costello Meet the Invisible Man,Bud Abbott Lou Costello Meet the Invisible Man,0.0,1951.0,,82.0,"Comedy,Family,Horror",6.6,6431
tt0043262,movie,Across the Wide Missouri,Across the Wide Missouri,0.0,1951.0,,78.0,"Adventure,Drama,Romance",6.2,2378
tt0043265,movie,The African Queen,The African Queen,0.0,1951.0,,105.0,"Adventure,Drama,Romance",7.7,86932
tt0043274,movie,Alice in Wonderland,Alice in Wonderland,0.0,1951.0,,75.0,"Adventure,Animation,Comedy",7.3,161073
tt0043276,movie,Along the Great Divide,Along the Great Divide,0.0,1951.0,,88.0,Western,6.8,2455
tt0043278,movie,An American in Paris,An American in Paris,0.0,1951.0,,114.0,"Drama,Musical,Romance",7.1,38222
tt0043286,movie,Angels in the Outfield,Angels in the Outfield,0.0,1951.0,,99.0,"Comedy,Family,Fantasy",7.1,3161
tt0043288,movie,Anne of the Indies,Anne of the Indies,0.0,1951.0,,81.0,"Action,Adventure,Drama",6.6,1609
tt0043291,movie,Apache Drums,Apache Drums,0.0,1951.0,,76.0,"Action,Adventure,Drama",6.5,1015
tt0043299,movie,As Young as You Feel,As Young as You Feel,0.0,1951.0,,77.0,Comedy,6.5,1592
tt0043303,movie,The Red Inn,L'auberge rouge,0.0,1951.0,,98.0,"Comedy,Crime",7.2,1662
tt0043306,movie,Awaara,Awaara,0.0,1951.0,,193.0,"Drama,Musical,Romance",7.8,4749
tt0043313,movie,Early Summer,Bakushû,0.0,1951.0,,125.0,"Comedy,Drama,Romance",8.0,10221
tt0043325,movie,Bedtime for Bonzo,Bedtime for Bonzo,0.0,1951.0,,83.0,"Comedy,Family,Romance",5.5,1153
tt0043332,movie,Bellissima,Bellissima,0.0,1951.0,,108.0,Drama,7.7,5813
tt0043338,movie,Ace in the Hole,Ace in the Hole,0.0,1951.0,,111.0,"Drama,Film-Noir",8.1,40920
tt0043340,movie,The Big Night,The Big Night,0.0,1951.0,,75.0,"Drama,Film-Noir,Thriller",6.3,1191
tt0043360,movie,Bride of the Gorilla,Bride of the Gorilla,0.0,1951.0,,70.0,"Adventure,Horror",4.4,1523
tt0043361,movie,Bright Victory,Bright Victory,0.0,1951.0,,97.0,"Drama,Romance,War",7.3,1092
tt0043362,movie,The Browning Version,The Browning Version,0.0,1951.0,,90.0,Drama,8.0,5690
tt0043379,movie,Captain Horatio Hornblower,Captain Horatio Hornblower R.N.,0.0,1951.0,,117.0,"Action,Adventure,Drama",7.3,7984
tt0043386,movie,Casque d'Or,Casque d'or,0.0,1952.0,,94.0,"Crime,Drama,Romance",7.6,6463
tt0043390,movie,Cause for Alarm!,Cause for Alarm!,0.0,1951.0,,74.0,"Crime,Drama,Film-Noir",6.4,2808
tt0043408,movie,The Cimarron Kid,The Cimarron Kid,0.0,1952.0,,84.0,Western,6.3,1229
tt0043409,movie,Circle of Danger,Circle of Danger,0.0,1951.0,,86.0,"Drama,Mystery,Romance",6.5,1140
tt0043411,movie,The Emperor and the Golem,Císaruv pekar - Pekaruv císar,0.0,1952.0,,110.0,"Comedy,Fantasy",8.0,1518
tt0043425,movie,Comin' Round the Mountain,Comin' Round the Mountain,0.0,1951.0,,77.0,"Comedy,Musical",6.2,1511
tt0043435,movie,Cry Danger,Cry Danger,0.0,1951.0,,79.0,"Crime,Drama,Film-Noir",7.3,2928
tt0043436,movie,"Cry, the Beloved Country","Cry, the Beloved Country",0.0,1951.0,,103.0,Drama,7.0,1054
tt0043455,movie,David and Bathsheba,David and Bathsheba,0.0,1951.0,,116.0,"Drama,Family,History",6.1,2807
tt0043456,movie,The Day the Earth Stood Still,The Day the Earth Stood Still,0.0,1951.0,,92.0,"Drama,Sci-Fi",7.7,88054
tt0043458,movie,Death of a Salesman,Death of a Salesman,0.0,1951.0,,115.0,Drama,7.2,1271
tt0043459,movie,Decision Before Dawn,Decision Before Dawn,0.0,1951.0,,119.0,"Drama,War",7.2,3153
tt0043461,movie,The Desert Fox: The Story of Rommel,The Desert Fox: The Story of Rommel,0.0,1951.0,,88.0,"Biography,Drama,War",6.9,6970
tt0043465,movie,Detective Story,Detective Story,0.0,1951.0,,103.0,"Crime,Drama,Film-Noir",7.5,9926
tt0043469,movie,Distant Drums,Distant Drums,0.0,1951.0,,101.0,"Action,Adventure,Drama",6.3,2495
tt0043476,movie,Double Dynamite,Double Dynamite,0.0,1951.0,,80.0,"Adventure,Comedy,Music",5.9,1374
tt0043503,movie,The Enforcer,The Enforcer,0.0,1951.0,,87.0,"Crime,Film-Noir,Thriller",7.2,5924
tt0043511,movie,Europe '51,Europa '51,0.0,1952.0,,118.0,Drama,7.4,5139
tt0043526,movie,Father's Little Dividend,Father's Little Dividend,0.0,1951.0,,82.0,"Comedy,Drama,Romance",6.5,4505
tt0043539,movie,Five,Five,0.0,1951.0,,93.0,"Drama,Horror,Sci-Fi",6.3,1781
tt0043540,movie,Fixed Bayonets!,Fixed Bayonets!,0.0,1951.0,,92.0,"Action,Drama,War",6.9,2207
tt0043545,movie,Flight to Mars,Flight to Mars,0.0,1951.0,,72.0,"Drama,Sci-Fi",5.1,1469
tt0043547,movie,Flying Leathernecks,Flying Leathernecks,0.0,1951.0,,102.0,"Action,Drama,War",6.3,5805
tt0043560,movie,Fourteen Hours,Fourteen Hours,0.0,1951.0,,92.0,"Drama,Film-Noir,Thriller",7.1,3260
tt0043565,movie,The Frogmen,The Frogmen,0.0,1951.0,,96.0,"Adventure,Drama,War",6.5,1631
tt0043567,movie,Miss Julie,Fröken Julie,0.0,1951.0,,90.0,"Drama,Romance",7.2,2187
tt0043590,movie,Go for Broke!,Go for Broke!,0.0,1951.0,,92.0,"Drama,History,War",6.6,1928
tt0043595,movie,"Goodbye, My Fancy","Goodbye, My Fancy",0.0,1951.0,,107.0,"Comedy,Romance",6.0,1028
tt0043599,movie,The Great Caruso,The Great Caruso,0.0,1951.0,,109.0,"Biography,Drama,Music",6.5,1579
tt0043606,movie,Cops and Robbers,Guardie e ladri,0.0,1951.0,,105.0,"Comedy,Drama",7.7,1925
tt0043614,movie,The Idiot,Hakuchi,0.0,1951.0,,166.0,"Drama,Romance",7.1,5974
tt0043625,movie,He Ran All the Way,He Ran All the Way,0.0,1951.0,,77.0,"Crime,Drama,Film-Noir",7.0,3250
tt0043633,movie,Here Comes the Groom,Here Comes the Groom,0.0,1951.0,,113.0,"Comedy,Musical,Romance",6.3,1249
tt0043643,movie,His Kind of Woman,His Kind of Woman,0.0,1951.0,,120.0,"Action,Crime,Film-Noir",7.0,5305
tt0043646,movie,Hollywood Story,Hollywood Story,0.0,1951.0,,77.0,"Crime,Drama,Film-Noir",6.7,1136
tt0043651,movie,Home Town Story,Home Town Story,0.0,1951.0,,61.0,"Comedy,Drama,Romance",4.9,1163
tt0043655,movie,The Hoodlum,The Hoodlum,0.0,1951.0,,61.0,"Crime,Drama,Film-Noir",6.2,1256
