primaryName,category,appearances
David Michael Latt,producer,12
Jane Alexander,actress,10
Anna Mazzotti,actress,6
Gregory Snegoff,actor,6
Anthony Cardoza,actor,5
Kamil Çetin,director,5
Uwe Boll,director,5
Uwe Boll,producer,5
Uwe Boll,writer,5
Anthony Cardoza,producer,4
Mehmet Ali Erbil,actor,4
Michael Rasmussen,actor,4
Mikel Shane Prather,composer,4
Mukesh Chhabra,casting_director,4
Oguz Kaplangi,composer,4
Ozan Aydemir,actor,4
Roland Jankowsky,actor,4
Safak Güçlü,writer,4
Scotty Mullen,casting_director,4
Sean Patrick Lovett,actor,4
Barbara Snellenburg,actress,3
Bernd Rieser,actor,3
Billy Zane,actor,3
Bob Arbogast,actor,3
Brett Kelly,director,3
Chaba Hrotko,actor,3
Christopher Cano,composer,3
Coleman Francis,director,3
Coleman Francis,writer,3
David A. Lloyd,writer,3
David Michael Latt,editor,3
Doga Konakoglu,actor,3
Eliza Swenson,composer,3
Enzo Salvi,actor,3
Ezio Greggio,actor,3
Faruk Aksoy,producer,3
Geoffrey Arend,actor,3
Gianfranco Jannuzzo,actor,3
Ike Barinholtz,actor,3
Irfan Saruhan,writer,3
Jared Cohn,director,3
Jo Betzing,actor,3
Jules de Jongh,actress,3
Karolina Morrongiello,actress,3
Kj Schrock,actor,3
Manfredi Aliquo,actor,3
Mehmet Basbaran,cinematographer,3
Nathan Hamer,actor,3
Nicole Parker,actress,3
Okan Karacan,actor,3
