primaryTitle,startYear,averageRating,numVotes,genres
Reis,2017,1.0,74331,"Biography,Drama"
Cumali Ceber,2017,1.0,39587,Comedy
A Business Proposal,2025,1.0,22512,"Comedy,Drama,Romance"
321 Action,2020,1.0,10246,Drama
2025 - The World enslaved by a Virus,2021,1.0,2773,"Adventure,Sci-Fi"
Nyay: The Justice,2021,1.1,1682,Drama
Elment az öszöd,2013,1.1,1343,Drama
The Crimean Bridge. Made with Love!,2018,1.1,1253,Romance
A Cosmic Adventure on Earth,2002,1.1,1185,Comedy
Sadak 2,2020,1.2,96984,"Action,Drama"
Smolensk,2016,1.2,40356,"Drama,Thriller"
15/07: Break of Dawn,2021,1.2,20707,"Action,Drama,War"
Daniel the Wizard,2004,1.2,15095,"Comedy,Crime,Fantasy"
Cumali Ceber 2,2018,1.2,10449,Comedy
Müjde,2022,1.2,9958,Drama
Desh Drohi,2008,1.2,6818,"Action,Thriller"
Finding Jesus,2020,1.2,1485,"Animation,Family,Fantasy"
Kirk Cameron's Saving Christmas,2014,1.3,17160,"Comedy,Family"
Foodfight!,2012,1.3,12387,"Action,Adventure,Animation"
Dream.net,2009,1.3,10056,"Comedy,Romance,Sport"
A Fox's Tale,2008,1.3,9110,"Adventure,Animation,Family"
Potato Salad,2015,1.3,7127,"Comedy,Horror"
Hanum & Rangga,2018,1.3,3574,"Drama,Romance"
We Love Bad Boys,2024,1.3,3025,Comedy
Ax 'Em,1992,1.3,2155,"Comedy,Horror,Mystery"
In Search of the Titanic,2004,1.3,1898,"Adventure,Animation,Family"
"Gulczas, what do you think...",2001,1.3,1375,"Comedy,Crime"
Enes Batur: Gerçek Kahraman,2019,1.4,10043,Comedy
Ram Gopal Varma Ki Aag,2007,1.4,7177,"Action,Adventure,Comedy"
The Legend of the Titanic,1999,1.4,3699,"Animation,Drama,Family"
Shark Exorcist,2014,1.4,2084,"Comedy,Fantasy,Horror"
Santa and the Ice Cream Bunny,1972,1.4,1725,"Family,Fantasy"
Rafathar,2017,1.4,1062,"Action,Adventure,Comedy"
The Cost of Deception,2021,1.5,40835,"Action,Crime,Drama"
Superbabies: Baby Geniuses 2,2004,1.5,32004,"Comedy,Family,Sci-Fi"
Turks in Space,2006,1.5,16935,"Action,Comedy,Sci-Fi"
Titanic: The Legend Goes On...,2000,1.5,9741,"Animation,Family,Fantasy"
Zombie Nation,2004,1.5,8327,Horror
Yes Sir,2007,1.5,7093,"Action,Comedy"
Birdemic 2: The Resurrection,2013,1.5,5183,"Horror,Thriller"
Jurassic Shark,2012,1.5,5095,"Action,Adventure,Comedy"
Debt Fees,2019,1.5,4801,Comedy
The Butterfly Ball,1977,1.5,3013,Music
The Trump Prophecy,2018,1.5,2736,"Biography,Drama"
Aliens vs. Avatars,2011,1.5,1759,"Horror,Sci-Fi"
The Class 4,2015,1.5,1425,Comedy
German Fried Movie,1992,1.5,1344,Comedy
The Witness,2023,1.5,1248,Drama
Kac Wawa,2012,1.5,1188,Comedy
Jack N Jill,2022,1.5,1155,"Comedy,Sci-Fi,Thriller"
Making of the Meme King,2023,1.5,1100,"Documentary,Fantasy,Horror"
Welcome to New York,2018,1.5,1020,"Comedy,Drama"
Justin Bieber's Believe,2013,1.6,17968,"Documentary,Music"
Jonas Brothers: The 3D Concert Experience,2009,1.6,17581,"Biography,Documentary,Music"
Keloglan vs. the Black Prince,2006,1.6,9719,Comedy
After Last Season,2009,1.6,8559,"Drama,Sci-Fi,Thriller"
Oha Diyorum,2017,1.6,7055,Comedy
Red Zone Cuba,1966,1.6,6577,"Action,Adventure,Crime"
The Starfighters,1964,1.6,3563,Drama
A Story About Love,1995,1.6,3194,"Drama,Romance"
Dark Harvest II: The Maize,2004,1.6,2760,Horror
Danes Without a Clue,1997,1.6,2618,Comedy
Krampus: The Christmas Devil,2013,1.6,2079,"Action,Horror,Thriller"
Amityville: Mt. Misery Rd.,2018,1.6,1911,"Horror,Mystery,Thriller"
Universal Soldiers,2007,1.6,1681,"Action,Adventure,Sci-Fi"
Smack Dab Kakha,2020,1.6,1437,Comedy
Barschel: A Murder in Geneva,1993,1.6,1338,Drama
Adam Misin!,2016,1.6,1214,Comedy
Beyond the Call to Duty,2016,1.6,1057,"Action,Drama,Horror"
Justin Bieber: Never Say Never,2011,1.7,76517,"Documentary,Music"
Manos: The Hands of Fate,1966,1.7,38128,Horror
Code Name: K.O.Z.,2015,1.7,27603,"Crime,Mystery"
Birdemic: Shock and Terror,2010,1.7,26349,"Horror,Thriller"
Pledge This!,2006,1.7,19092,Comedy
The Oogieloves in the Big Balloon Adventure,2012,1.7,15648,"Adventure,Family,Fantasy"
Humshakals,2014,1.7,9057,"Comedy,Drama,Romance"
Too Beautiful,2005,1.7,4720,Comedy
Wizard School,2015,1.7,3750,Comedy
Nukie,1987,1.7,1521,"Adventure,Family,Sci-Fi"
Rocket Attack U.S.A.,1960,1.7,1208,Thriller
Loqueesha,2019,1.7,1156,Comedy
Bruder vor Luder,2015,1.7,1081,"Comedy,Romance"
Çanakkale Çocuklari,2012,1.7,1065,"Drama,History,War"
Snow White,2025,1.8,362604,"Adventure,Family,Fantasy"
